SUMO;liczba synsetów przypadająca na pojęcie
Vocalizing;24
Cauliflower;3
Arguing;1
DiseaseOrSyndrome;1858
ObjectAttitude;2
PlanetVenus;2
HorseRacing;2
PsychologicalProcess;94
NonprofitOrganization;1
Promethium;1
TravelerAccommodation;17
License;25
OrangeFruit;4
TimePoint;5
holdsRight;43
DivisionFn;15
Skull;6
date;1
PoliticalScience;3
Modem;1
SerbiaAndMontenegro;1
Menstruation;3
Iodine;1
RadiationMeasure;4
ElectricCoffeeMaker;7
Series;18
MegaByte;3
SafeContainer;4
CognitiveAgent;227
Badminton;3
Asleep;7
ChineseYuan;1
GuidedMissile;2
CoolingDevice;2
ChristianBible;13
Islam;5
Sheep;27
Combustion;14
Hunting;12
UnitedArabEmirates;1
BoxingRing;1
Lutetium;2
PoundMass;5
LinguisticCommunication;13
Antimony;1
White;25
Bolivia;1
SeasonOfYear;10
Ghana;1
EducationalOrganization;58
Raid;1
HotelRoom;8
ServicePosition;14
Millimeter;1
Guatemala;1
IndonesianRupiah;1
SoundAttribute;191
VehicleController;3
Veil;2
Vein;3
Remembering;29
Towel;1
Cable;3
PerFn;11
BulgarianLanguage;1
NorthAmerica;1
not;19
Decoding;2
Gastropod;4
BelarusanLanguage;1
USMilitaryRankO6;2
USMilitaryRankO7;2
USMilitaryRankO4;1
USMilitaryRankO2;6
USMilitaryRankO3;1
Yellow;31
USMilitaryRankO9;1
CoordinatedUniversalTimeZone;1
Mile;2
patientMedical;6
Skin;9
AltaicLanguage;6
interestEarned;2
PressureMeasuringDevice;4
Milk;8
TimeDependentQuantity;79
PlanetJupiter;2
PunkRockMusic;1
Contest;98
Lux;1
OmaniRiyal;1
Larval;24
Hepatitis;8
ReproductiveBody;51
LineFormation;12
Satellite;2
SolarSystem;3
Endive;5
Malaria;4
FieldOfLaw;39
LuxembourgFranc;1
Pocket;4
SaoThomeEPrincipeDobra;1
Plague;3
SubatomicParticle;61
Key;3
KelvinDegree;1
Article;11
GunStock;2
Hawaii;1
GovernmentOrganization;2
Stone;1
Judo;2
Opium;6
Pregnant;2
Braille;1
ChemicalSalt;48
Tumor;33
RegulatoryProcess;79
BallisticMissile;1
Afternoon;1
Bamboo;3
Knife;1
PrimeNumber;1
Walking;70
Spear;15
Battery;14
CottonFiber;21
Sign;21
Senegal;1
Promise;8
VCRSystem;2
Hungary;3
NaturalLanguage;42
