lemma;variant;domain
agar;2;17
agar-agar;1;24
agat;1;14
agawa;1;17
agawa sizalowa;1;17
agawowate;1;46
agencja;1;12
agencja;2;11
agencja;3;11
agencja;4;11
agencja detektywistyczna;1;11
agencja kosmiczna;1;11
agencja modelek;1;11
agencja modelingowa;1;11
agencja modelingu;1;11
agencja ochroniarska;1;11
agencja ochrony;1;11
agencja prasowa;1;11
agencja reklamowa;1;11
agencja rządowa;1;11
agencja towarzyska;1;12
agenda;1;12
agenda;2;11
agenezja;1;19
agenezja ciała modzelowatego;1;19
agenezja nerki;1;19
agens;1;26
agens;2;1
agent;1;15
agent;2;15
agent;3;15
agent;4;15
agent;5;15
agent;6;15
agent;7;15
agent;8;6
agent celny;1;15
agent gospodarczy;1;26
agent kontraktowy;1;15
agent nieruchomości;1;15
agent obcego wywiadu;1;15
agent ochrony;1;15
agent ubezpieczeniowy;1;15
agent wpływu;1;15
agent wywiadu;1;15
agentka;2;15
agentka;3;15
agentka;4;15
agentka;5;15
agentka;6;15
agentka;7;15
agentura;1;11
agentura;2;12
agenturalność;1;4
agflacja;1;16
agitacja;1;8
agitator;1;15
agitatorka;1;15
agitka;1;3
agitowanie;1;2
aglomeracja;1;12
aglomerat;1;14
aglomerat;2;24
aglomerownia;1;3
aglutynacja;1;16
aglutynina;1;24
agnat;1;15
agnatka;1;15
agnostycyzm;1;6
agnostyczka;1;15
agnostyk;1;15
agnostyk;2;15
agnozja;1;8
agnozja czuciowa;1;8
agnozja słuchowa;1;8
agnozja wzrokowa;1;8
agnozja wzrokowa jednoczesna;1;8
agogika;1;20
agon;1;8
agona;1;22
agonia;1;23
agonia;2;26
agora;1;12
agorafobia;1;9
agoryzm;1;6
agradacja;1;19
agrafa;1;3
agrafa;2;3
agrafka;1;3
agramatyzm;1;19
agranulocyt;1;14
agranulocytoza;1;16
agrariusz;1;15
agrarysta;1;15
agraryzm;1;26
agraryzm;2;6
agregacja;1;19
agregacja;2;24
agregat;1;15
agregat;2;11
agregat ekonomiczny;1;20
agregat krystaliczny;1;14
agregat pieniężny;1;20
agregatka;1;15
agregator;1;3
agregator;2;3
agregator treści;1;3
agregowanie;1;2
agregowanie;2;2
agresja;1;9
agresja;2;7
agresja;3;8
agresor;1;15
agresor;2;26
agrest;1;10
agrest;2;17
agresywność;1;9
agriofit;1;17
agrobiolog;1;15
agrobiologia;2;6
agrobiznes;1;18
agrocenoza;1;23
agrochemia;1;6
agrochemiczka;1;15
agrochemik;1;15
agroekosystem;1;23
agrofizyka;1;6
agrokultura;1;2
agrologia;1;6
agromelioracja;1;2
agrometeorolog;1;15
agrometeorologia;1;6
agronom;1;15
agronomia;1;6
agronomka;1;15
agronomówka;1;3
agrorafineria;1;12
agrotechniczka;1;15
agrotechnik;1;15
agrotechnika;1;6
agroturysta;1;15
agroturystyka;1;26
aguti;1;21
agyria;1;19
aH;1;20
AI;1;6
AIDS;1;19
aikido;1;2
airbag;1;3
ais;1;7
aiwar;1;10
ajencja;1;12
ajencja;2;18
ajencja;3;11
ajent;1;15
ajentka;1;15
ajerkoniak;1;10
Ajgospotamoj;1;14
AJJDC;1;11
ajmak;1;12
ajnsztajn;1;20
Ajnur;1;15
AK;1;11
AK-owiec;1;15
akacja;1;17
akacja biała;1;17
akademia;1;12
akademia;2;6
akademia;3;26
akademia talmudyczna;1;6
akademiczka;1;15
akademiczka;2;15
akademik;1;12
akademik;2;15
akademik;3;15
akademik;4;15
akademik;5;15
akademizm;1;6
akanie;1;16
akant;1;3
akant;2;17
akantowate;1;46
akapit;1;3
akariobionty;1;46
akatyst;1;3
akatyzja;1;19
akceleracja;1;19
akceleracja biologiczna;1;19
akcelerator;1;3
akcelerator;2;3
akcelerator Cockcrofta-Waltona;1;3
akcelerator cykliczny;1;3
akcelerator elektronów;1;3
akcelerator kołowy;1;3
akcelerator liniowy;1;3
akcelerator protonów;1;3
akcelerator wiązek przeciwzbieżnych;1;3
akcelerometr;1;3
akcencik;1;16
akcencik;2;4
akcencik;3;7
akcencik;4;4
akcencik;5;7
akcent;1;16
akcent;2;4
akcent;3;7
akcent;4;4
akcent;5;7
akcent finalny;1;4
akcent inicjalny;1;4
akcent oksytoniczny;1;4
akcent paroksytoniczny;1;4
akcent proparoksytoniczny;1;4
akcent retoryczny;1;4
akcent ruchomy;1;4
akcent toniczny;1;4
akcentowanie;1;2
akcentowanie;2;2
akcentowanie;3;2
akcentowanie;4;2
akcept;1;18
akcept;2;7
akceptacja;1;7
akceptacja;2;6
akceptant;1;15
akceptor;1;16
akceptowalność;1;26
akceptowanie;1;2
akceptowanie;2;2
akceptowanie;3;2
akceptowanie;4;2
akces;1;23
akcesja;1;23
akcesoria;1;11
akcesorium;1;3
akcesorium;2;3
akcik;1;3
akcik;2;2
akcik;3;7
akcik;4;8
akcik;5;8
akcik;6;3
akcik;7;6
akcja;1;7
akcja;2;8
akcja;3;8
akcja;4;18
akcja;5;8
akcja aportowa;1;18
akcja gotówkowa;1;18
akcja imienna;1;18
akcja na okaziciela;1;18
akcja niema;1;18
akcja uprzywilejowana;1;18
akcja założycielska;1;18
akcja zwykła;1;18
akcjogram;1;3
akcjonariusz;1;15
akcjonariuszka;1;15
akcydens;1;3
akcydensik;1;3
akcydensista;1;15
akcydensistka;1;15
akcyjność;1;4
akcyza;1;18
akia;1;3
akinezja;1;23
akinezja;2;23
aklamacja;1;7
aklamacja liturgiczna;1;7
aklimatyzacja;1;19
aklimatyzowanie;1;2
aklimatyzowanie się;1;2
aklimatyzowanie się;2;2
akmeista;1;15
akmeizm;1;6
akolada;1;7
akolita;1;15
akolita;2;15
akolitka;1;3
akomodacja;1;26
akomodacja;2;19
akompaniament;1;23
akompaniator;1;15
akompaniatorka;1;15
akompaniowanie;1;2
akompaniowanie;2;23
akonityna;1;24
akonto;1;18
akord;1;4
akord;2;18
akord;3;7
akordeon;1;3
akordeonik;1;3
akordeonista;1;15
akordeonistka;1;15
akordowiec;1;15
akowiec;1;15
akr;1;20
akrecja;1;16
akrecja;2;19
akrecja;3;6
akredytacja;1;7
akredytacja;2;7
akredytowanie;1;2
akredytowanie;2;2
akredytowanie się;1;2
akredytywa;1;18
akredytywa;2;7
akredytywa;3;7
akrobacja;1;2
akrobacja;2;8
akrobacja;3;8
akrobacja lotnicza;1;8
akrobacja powietrzna;1;8
akrobata;1;15
akrobatka;1;15
akrobatyka;1;2
akrofobia;1;9
akroleina;1;24
akromegalia;1;19
akronim;1;7
akropol;1;12
akrostych;1;3
akroterion;1;3
akryl;1;3
akrylonitryl;1;24
aksamit;1;3
aksamitek;1;17
aksamitka;1;17
aksamitka;2;3
aksamitka;3;17
aksamitna rewolucja;1;26
aksamitność;1;4
aksel;1;8
akselbant;1;3
aksilla;1;17
aksjologia;1;6
aksjomat;1;6
aksjomat;2;6
aksjomatyka;1;6
aksjomatyzacja;1;6
aksolotl;1;21
aksolotl meksykański;1;21
akson;1;14
aksonometria;1;6
akt;1;3
akt;2;2
akt;3;7
akt;4;8
akt;5;8
akt;6;3
akt;7;6
akt chrztu;1;3
Akt Czysty;1;15
akt kapitulacji;1;3
akt notarialny;1;3
akt oskarżenia;1;3
akt płciowy;1;8
akt urodzenia;1;3
akt zgonu;1;3
akta;1;11
aktinidia;1;17
aktinidiowate;1;46
aktor;1;15
aktor;2;15
aktor;3;15
aktor charakterystyczny;1;15
aktor komiczny;1;15
aktor serialowy;1;15
aktor telewizyjny;1;15
aktor tragiczny;1;15
aktoreczka;1;15
aktorka;1;15
aktorka;2;15
aktorka;3;15
aktorstwo;1;26
aktorstwo;2;2
aktorzyca;1;15
aktorzyna;1;15
