lemma;variant;domain
agnostycyzm;1;umy
agnostyczka;1;os
agnostyk;1;os
agnostyk;2;os
agnozja;1;zdarz
agnozja czuciowa;1;zdarz
agnozja słuchowa;1;zdarz
agnozja wzrokowa;1;zdarz
agnozja wzrokowa jednoczesna;1;zdarz
agogika;1;il
agon;1;zdarz
agona;1;ksz
agonia;1;st
agonia;2;zwz
agora;1;msc
agorafobia;1;czuj
agoryzm;1;umy
agradacja;1;prc
agrafa;1;wytw
agrafa;2;wytw
agrafka;1;wytw
agramatyzm;1;prc
agranulocyt;1;rz
agranulocytoza;1;zj
agrariusz;1;os
agrarysta;1;os
agraryzm;1;zwz
agraryzm;2;umy
agregacja;1;prc
agregacja;2;sbst
agregat;1;os
agregat;2;grp
agregat ekonomiczny;1;il
agregat krystaliczny;1;rz
agregat pieniężny;1;il
agregatka;1;os
agregator;1;wytw
agregator;2;wytw
agregator treści;1;wytw
agregowanie;1;czy
agregowanie;2;czy
agresja;1;czuj
agresja;2;por
agresja;3;zdarz
agresor;1;os
agresor;2;zwz
agrest;1;jedz
agrest;2;rsl
agresywność;1;czuj
agriofit;1;rsl
agrobiolog;1;os
agrobiologia;2;umy
agrobiznes;1;pos
agrocenoza;1;st
agrochemia;1;umy
agrochemiczka;1;os
agrochemik;1;os
agroekosystem;1;st
agrofizyka;1;umy
agrokultura;1;czy
agrologia;1;umy
agromelioracja;1;czy
agrometeorolog;1;os
agrometeorologia;1;umy
agronom;1;os
agronomia;1;umy
agronomka;1;os
agronomówka;1;wytw
agrorafineria;1;msc
agrotechniczka;1;os
agrotechnik;1;os
agrotechnika;1;umy
agroturysta;1;os
agroturystyka;1;zwz
aguti;1;zw
agyria;1;prc
aH;1;il
AI;1;umy
AIDS;1;prc
aikido;1;czy
airbag;1;wytw
ais;1;por
aiwar;1;jedz
ajencja;1;msc
ajencja;2;pos
ajencja;3;grp
ajent;1;os
ajentka;1;os
ajerkoniak;1;jedz
Ajgospotamoj;1;rz
AJJDC;1;grp
ajmak;1;msc
ajnsztajn;1;il
Ajnur;1;os
AK;1;grp
AK-owiec;1;os
akacja;1;rsl
akacja biała;1;rsl
akademia;1;msc
akademia;2;umy
akademia;3;zwz
akademia talmudyczna;1;umy
akademiczka;1;os
akademiczka;2;os
akademik;1;msc
akademik;2;os
akademik;3;os
akademik;4;os
akademik;5;os
akademizm;1;umy
akanie;1;zj
akant;1;wytw
akant;2;rsl
akantowate;1;sys
akapit;1;wytw
akariobionty;1;sys
akatyst;1;wytw
akatyzja;1;prc
akceleracja;1;prc
akceleracja biologiczna;1;prc
akcelerator;1;wytw
akcelerator;2;wytw
akcelerator Cockcrofta-Waltona;1;wytw
akcelerator cykliczny;1;wytw
akcelerator elektronów;1;wytw
akcelerator kołowy;1;wytw
akcelerator liniowy;1;wytw
akcelerator protonów;1;wytw
akcelerator wiązek przeciwzbieżnych;1;wytw
akcelerometr;1;wytw
akcencik;1;zj
akcencik;2;cech
akcencik;3;por
akcencik;4;cech
akcencik;5;por
akcent;1;zj
akcent;2;cech
akcent;3;por
akcent;4;cech
akcent;5;por
akcent finalny;1;cech
akcent inicjalny;1;cech
akcent oksytoniczny;1;cech
akcent paroksytoniczny;1;cech
akcent proparoksytoniczny;1;cech
akcent retoryczny;1;cech
akcent ruchomy;1;cech
akcent toniczny;1;cech
akcentowanie;1;czy
akcentowanie;2;czy
akcentowanie;3;czy
akcentowanie;4;czy
akcept;1;pos
akcept;2;por
akceptacja;1;por
akceptacja;2;umy
akceptant;1;os
akceptor;1;zj
akceptowalność;1;zwz
akceptowanie;1;czy
akceptowanie;2;czy
akceptowanie;3;czy
akceptowanie;4;czy
akces;1;st
akcesja;1;st
akcesoria;1;grp
akcesorium;1;wytw
akcesorium;2;wytw
akcik;1;wytw
akcik;2;czy
akcik;3;por
akcik;4;zdarz
akcik;5;zdarz
akcik;6;wytw
akcik;7;umy
akcja;1;por
akcja;2;zdarz
akcja;3;zdarz
akcja;4;pos
akcja;5;zdarz
akcja aportowa;1;pos
akcja gotówkowa;1;pos
akcja imienna;1;pos
akcja na okaziciela;1;pos
akcja niema;1;pos
akcja uprzywilejowana;1;pos
akcja założycielska;1;pos
akcja zwykła;1;pos
akcjogram;1;wytw
akcjonariusz;1;os
akcjonariuszka;1;os
akcydens;1;wytw
akcydensik;1;wytw
akcydensista;1;os
akcydensistka;1;os
akcyjność;1;cech
akcyza;1;pos
akia;1;wytw
akinezja;1;st
akinezja;2;st
aklamacja;1;por
aklamacja liturgiczna;1;por
aklimatyzacja;1;prc
aklimatyzowanie;1;czy
aklimatyzowanie się;1;czy
aklimatyzowanie się;2;czy
akmeista;1;os
akmeizm;1;umy
akolada;1;por
akolita;1;os
akolita;2;os
akolitka;1;wytw
akomodacja;1;zwz
akomodacja;2;prc
akompaniament;1;st
akompaniator;1;os
akompaniatorka;1;os
akompaniowanie;1;czy
akompaniowanie;2;st
akonityna;1;sbst
akonto;1;pos
akord;1;cech
akord;2;pos
akord;3;por
akordeon;1;wytw
akordeonik;1;wytw
akordeonista;1;os
akordeonistka;1;os
akordowiec;1;os
akowiec;1;os
akr;1;il
akrecja;1;zj
akrecja;2;prc
akrecja;3;umy
akredytacja;1;por
akredytacja;2;por
akredytowanie;1;czy
akredytowanie;2;czy
akredytowanie się;1;czy
akredytywa;1;pos
akredytywa;2;por
akredytywa;3;por
akrobacja;1;czy
akrobacja;2;zdarz
akrobacja;3;zdarz
akrobacja lotnicza;1;zdarz
akrobacja powietrzna;1;zdarz
akrobata;1;os
akrobatka;1;os
akrobatyka;1;czy
akrofobia;1;czuj
akroleina;1;sbst
akromegalia;1;prc
akronim;1;por
akropol;1;msc
akrostych;1;wytw
akroterion;1;wytw
akryl;1;wytw
akrylonitryl;1;sbst
aksamit;1;wytw
aksamitek;1;rsl
aksamitka;1;rsl
aksamitka;2;wytw
aksamitka;3;rsl
aksamitna rewolucja;1;zwz
aksamitność;1;cech
aksel;1;zdarz
akselbant;1;wytw
aksilla;1;rsl
aksjologia;1;umy
aksjomat;1;umy
aksjomat;2;umy
aksjomatyka;1;umy
aksjomatyzacja;1;umy
aksolotl;1;zw
aksolotl meksykański;1;zw
akson;1;rz
aksonometria;1;umy
akt;1;wytw
akt;2;czy
akt;3;por
akt;4;zdarz
akt;5;zdarz
akt;6;wytw
akt;7;umy
akt chrztu;1;wytw
Akt Czysty;1;os
akt kapitulacji;1;wytw
akt notarialny;1;wytw
akt oskarżenia;1;wytw
akt płciowy;1;zdarz
akt urodzenia;1;wytw
akt zgonu;1;wytw
akta;1;grp
aktinidia;1;rsl
aktinidiowate;1;sys
aktor;1;os
aktor;2;os
aktor;3;os
aktor charakterystyczny;1;os
aktor komiczny;1;os
aktor serialowy;1;os
aktor telewizyjny;1;os
aktor tragiczny;1;os
aktoreczka;1;os
aktorka;1;os
aktorka;2;os
aktorka;3;os
aktorstwo;1;zwz
aktorstwo;2;czy
aktorzyca;1;os
aktorzyna;1;os
aktorzysko;1;os
aktorzysko;2;os
aktorzysko;3;os
aktówka;1;wytw
aktówka;2;por
aktualista;1;os
aktualistka;1;os
aktualizacja;1;st
aktualizm;1;umy
aktualizm;2;umy
aktualizowanie;1;czy
aktualizowanie się;1;czy
aktualność;1;cech
aktuariusz;1;os
aktyn;1;sbst
aktynolit;1;rz
aktynometr;1;wytw
aktynoterapia;1;czy
aktynowiec;1;sbst
aktyw;1;grp
aktywa;1;pos
aktywa obrotowe;1;pos
aktywa trwałe;1;pos
aktywacja;1;czy
aktywacja;2;czy
aktywator;1;sbst
aktywista;1;os
aktywista;2;os
aktywistka;1;os
aktywizacja;1;czy
aktywizacja;2;st
aktywizator;1;os
aktywizm;1;umy
aktywizm;2;zwz
aktywizm;3;umy
aktywizowanie;1;czy
aktywność;1;umy
aktywność;2;czy
aktywny wypoczynek;1;czy
aktywowanie;1;czy
akulturacja;1;prc
akumulacja;1;zdarz
akumulacja;2;prc
akumulacja;3;zdarz
akumulacja;4;por
akumulator;1;wytw
akumulator kwasowo-ołowiowy;1;wytw
akumulator samochodowy;1;wytw
akumulatorek;1;wytw
akumulatorek;2;wytw
akumulowanie;1;czy
akupresura;1;czy
akupunktura;1;czy
akupunkturzysta;1;os
akupunkturzystka;1;os
akuratność;1;cech
akustyczność;1;zwz
akustyk;1;os
akustyk;2;os
akustyka;1;zwz
akustyka;2;umy
akuszer;1;os
akuszerka;1;os
akuszerstwo;1;zwz
akwaforcista;1;os
akwaforcistka;1;os
akwaforta;1;umy
akwaforta;2;wytw
akwakultura;1;grp
akwalung;1;wytw
akwamaryn;1;rz
akwamaryna;1;rz
akwanauta;1;os
akwanautka;1;os
akwarela;1;wytw
akwarela;2;sbst
akwarelista;1;os
akwarelistka;1;os
akwarelka;1;wytw
akwariarz;1;os
akwarium;1;msc
akwarysta;1;os
akwarystka;1;os
akwarystyka;1;umy
akwarystyka;2;umy
akwatinta;1;umy
akwatinta;2;wytw
akwatorium;1;msc
akwawita;1;jedz
akwedukt;1;wytw
akwen;1;msc
akwitan;1;czas
akwizycja;1;czy
akwizycja;2;czy
akwizytor;1;os
akwizytorka;1;os
AL;1;umy
Al;2;sbst
Al-Kaida;1;grp
Ala;1;sbst
ala;2;grp
alabaster;1;rz
alalia;1;prc
alanina;1;sbst
alarm;1;wytw
alarm;2;por
alarm bojowy;1;por
alarm przeciwpożarowy;1;wytw
alarm przeciwwłamaniowy;1;wytw
alarm samochodowy;1;wytw
alarmista;1;os
alarmistka;1;os
alarmowanie;1;czy
alarmowanie;2;czy
alasz;1;jedz
alb;1;rz
alb;2;czas
alba;1;wytw
alba;2;por
Albania;1;msc
Albanka;1;os
Albańczyk;1;os
albertotypia;1;wytw
albertyn;1;os
albertyni;1;grp
albertynka;1;os
albertynki;1;grp
albigens;1;os
albinizm;1;zj
albinos;1;os
albinoska;1;os
albit;1;rz
album;1;wytw
album;2;wytw
album;3;msc
album;4;wytw
album;5;wytw
album;6;wytw
albumik;1;wytw
albumik;2;wytw
albumik;3;msc
albumik;4;wytw
albumik;5;wytw
albumina;1;rz
albuminian taniny;1;sbst
albuminuria;1;prc
alchemia;1;umy
alchemik;1;os
alcista;1;os
alcistka;1;os
aldehyd;1;sbst
aldehyd akrylowy;1;sbst
aldehyd glicerolowy;1;sbst
aldehyd glicerynowy;1;sbst
aldehyd mrówkowy;1;sbst
aldehyd octowy;1;sbst
aldehyd piperonylowy;1;sbst
aldehyd trichlorooctowy;1;sbst
aldolaza;1;sbst
aldosteron;1;sbst
aldoza;1;sbst
aldrowanda pęcherzykowata;1;rsl
aleatoryzm;1;umy
alegoria;1;por
alegoria;2;por
alegoryczność;1;umy
alegoryjka;1;por
alegoryjka;2;por
aleja;1;msc
aleja;2;msc
aleja sztywnych;1;msc
alejka;1;msc
Aleksander Fredro;1;os
Aleksander Puszkin;1;os
Aleksander Sergiejewicz Puszkin;1;os
aleksandryn;1;por
aleksandryt;1;rz
aleksja;1;zdarz
aleksja bez agrafii;1;zdarz
aleksykalizm;1;prc
