lemma;domain;distance
astrofizyk;os;9
astrolog;os;8
astronauta;os;7
astronom;os;8
astygmatyk;os;8
asura;os;5
as wywiadu;os;8
asymilator;os;8
asyriolog;os;9
Asyryjczyk;os;8
asysta;grp;3
asystent;os;6
asystent;os;9
Aszkenazyjczyk;os;7
ataman;os;8
ataman koszowy;os;9
ataman siczowy;os;9
ataszat;msc;5
ateista;os;8
atelier;msc;8
ateńczyk;os;7
ateusz;os;9
atleta;os;7
atletyk;os;8
atomista;os;10
atomista;os;8
atomówka;msc;9
atopik;os;7
attaché;os;11
audiolog;os;12
audytor;os;10
audytor;os;8
audytorium;grp;7
augur;os;6
augur;os;8
augustianin;os;10
aukcjoner;os;6
auleta;os;10
aulista;os;10
auror;os;4
austeria;msc;9
Australijczyk;os;5
australijki krokodyl słodkowodny;zw;9
australoid;os;6
australopitek;os;6
Austriak;os;6
austrofil;os;9
austrofob;os;9
autarcha;os;6
autobiograf;os;9
autochton;os;6
autodydakta;os;7
autokefaliczny Kościół prawosławny;zwz;6
autokomis;msc;7
autokrata;os;4
autokrata;os;8
automat;os;6
automatyk;os;8
automobilista;os;7
automobilista;os;8
automobilklub;wytw;4
automyjnia;msc;9
autonomista;os;7
autor;os;6
autorytet;os;6
autostopowicz;os;5
autsajder;os;7
autsajder;zw;10
autyk;os;9
autysta;os;9
auxilia;grp;6
awalista;os;3
awangarda;grp;3
awangarda;grp;5
awangardysta;os;9
awangardzista;os;9
awanturnica;os;7
awanturnik;os;8
awerroista;os;9
awiator;os;8
Azer;os;6
Azerbejdżanin;os;6
Azjata;os;5
Azjata;os;8
azotobakter;zw;4
azylant;os;7
baba;os;7
baba;os;8
baba jaga;os;8
baba-jaga;os;8
babcia;os;7
babcia;os;9
babcia cioteczna;os;10
babiarz;os;8
Babilończyk;os;8
babina;os;7
babiniec;grp;2
babinka;os;7
babka;os;7
babka;os;9
babka;zw;9
bąblowiec;zw;5
babrała;os;7
babuin;zw;11
babula;os;7
babula;os;9
babuleńka;os;7
babulka;os;7
babunia;os;9
babusia;os;10
baby-sitter;os;9
babysitterka;os;9
baca;os;8
bachantka;os;4
bachantka;os;7
bachmat;zw;10
bachor;os;7
baciar;os;8
bączek;zw;8
badacz;os;6
badmintonista;os;6
badylarka;zw;9
badylarz;os;11
bagażowy;os;7
bahaita;os;8
baj;os;3
bajarz;os;9
bajcarz;os;9
bajerant;os;8
bajkopis;os;8
bajkopisarz;os;8
bajronista;os;9
bajtel;os;7
bajzel;msc;5
bąk;os;7
bąk;zw;7
bąk;zw;8
bakałarz;os;10
bakałarz;os;7
bakalaureat;os;7
bakcyl;rz;4
bąkojad;zw;7
bąkojad czerwonodzioby;zw;8
bąkojad żółtodzioby;zw;8
bakteria;zw;3
bakteria brodawkowa;zw;4
bakteria Gram dodatnia;rz;4
bakteria Gram ujemna;rz;4
bakteria korzeniowa;zw;4
bakteriolog;os;9
baktrian;zw;7
bałaganiarz;os;6
bałaguła;os;8
bałaguła;os;9
bałamut;os;7
bałamut;os;8
bałamutka;os;7
bałamutnica;os;8
bałamutnik;os;8
balansista;os;7
balet;grp;4
balet;msc;4
baletmistrz;os;8
baletnik;os;9
balistyk;os;6
Bałkańczyk;os;6
balladysta;os;10
balladysta;os;11
balladzista;os;10
balladzista;os;9
balneolog;os;10
balneoterapeuta;os;12
baloniarz;os;6
baloniarz;os;8
balowicz;os;6
Balrog;os;4
balsamista;os;7
Bałt;os;6
bałtolog;os;9
bałtysta;os;9
bałwan;os;6
balwierz;os;9
bałwochwalca;os;6
bałwochwalca;os;8
bamber;os;6
bamber;os;7
bambo;os;8
bambus;os;8
banan;os;8
bananojad;zw;8
bananowa republika;msc;5
bananowiec;os;8
band;grp;4
banda;grp;3
banda;grp;4
banderia;grp;5
banderowiec;os;9
bandos;os;7
bandur;os;8
bandurzysta;os;11
bandyta;os;7
banita;os;6
banita;os;8
bank;msc;4
bank centralny;msc;5
bank emisyjny;pos;6
bank hipoteczny;msc;5
bankier;os;5
bankier;os;8
bank komercyjny;msc;5
bankowiec;os;7
bankrut;os;2
bankrut;os;6
baon;grp;6
baptysta;os;10
bar;msc;8
barakuda;zw;7
baramunda;zw;10
baran;os;6
baran;zw;5
baranek;os;6
barania głowa;os;8
barani łeb;os;8
barbaria;msc;5
barbarzyńca;os;5
barbarzyńca;os;6
barbarzyńca;os;7
barbet;zw;8
barbie;os;7
barbizończyk;os;9
barciak;zw;9
barczatka;zw;9
barczatka sosnówka;zw;10
bard;os;10
bard;os;7
bargiel;zw;8
baribal;zw;9
barista;os;9
barkarz;os;9
barman;os;8
bar mleczny;msc;9
baron;os;6
baron;os;7
baron;os;8
baronet;os;8
baronostwo;grp;4
baronowa;os;8
baronówna;os;10
barrakuda;zw;7
barramunda;zw;10
barszczanin;os;10
bar szybkiej obsługi;msc;9
bartnik;os;11
barwena;zw;9
barwiarz;os;7
baryła;os;7
baryłkarz;zw;7
baryton;os;11
bas;os;11
basałyk;os;7
baseballista;os;6
basetlista;os;11
basior;zw;5
basista;os;10
basista;os;11
Bask;os;7
basmacz;os;8
basset;zw;8
bastard;os;11
bastard;cech;4
basza;os;10
Baszkir;os;7
batalion;grp;6
batalion;zw;8
batalion czołgów;grp;7
batalion dział pancernych;grp;7
batalion łączności;grp;7
batalion medyczny;grp;7
batalion piechoty górskiej;grp;7
batalion piechoty morskiej;grp;7
batalion piechoty zmotoryzowanej;grp;7
batalion saperów;grp;7
batalion strzelców;grp;7
batalista;os;9
bateria;grp;8
bateria artylerii;grp;9
bateria artylerii przeciwlotniczej;grp;10
bateria moździerzy;grp;9
bateria rakiet;grp;9
bateria rakietowa;grp;9
batiar;os;8
batiuszka;os;9
batożnik;os;8
bawełnica;zw;6
bawełnica korówka;zw;7
bawidamek;os;8
bawół;zw;6
bażanciarnia;msc;9
bażant;zw;8
bażantarnia;msc;9
bażant lśniący;zw;9
bażantnik;os;10
bazgracz;os;7
bazgracz;os;8
bazgrała;os;7
bazgrała;os;8
bazyleus;os;11
bazyleus;os;7
bazylianin;os;10
bazylika;msc;5
bazylissa;os;9
bazyliszek;os;7
bazyliszek;zw;4
bazyliszek;zw;9
bazyliszek hełmiasty;zw;10
beatnik;os;6
bębniarz;os;10
bęcwał;os;7
bedel;os;9
bedlington terrier;zw;9
bednarka;os;8
bednarz;os;6
beduin;os;7
Beduin;os;8
beg;os;10
begard;os;7
beginki i begardzi;zwz;4
behapowiec;os;7
behawiorysta;os;8
behemot;zw;5
beisa;zw;8
bej;os;10
bejlerbej;os;11
bejsbolista;os;6
beka;os;7
bękart;os;10
bekas;zw;8
bekasik;zw;9
bekas kszyk;zw;9
bekas mały;zw;9
bekoniarnia;msc;9
beksa;os;9
beksa-lala;os;9
bełchatowianin;os;7
belemit;zw;5
belemnit;zw;7
beletrysta;os;8
beletryzator;os;9
belfer;os;10
Belg;os;6
belg;zw;10
belona;zw;9
benedyktyn;os;10
beneficjant;os;5
beneficjent;os;4
beneficjent;os;5
benefisant;os;7
beniaminek;grp;5
beniaminek;os;6
berbeć;os;7
bergsonista;os;8
berlińczyk;os;7
bernard;zw;8
bernardyn;os;12
bernardyn;zw;8
bernikla;zw;9
bersalier;os;8
beskidnik;os;9
besserwisser;os;7
bestia;os;5
bestia;os;8
bestia;zw;4
beta tester;os;7
betoniarnia;msc;8
betoniarz;os;8
bezbożnik;os;7
bezczaszkowiec;zw;6
bezdomny;os;6
bezgrzebieniowiec;zw;8
bezguście;os;6
bezideowiec;os;7
bezkręgowiec;zw;4
bezlotka;zw;8
bezmózgowiec;os;6
bezpaństwowiec;os;5
bezpieczniak;os;10
bezpieka;zwz;6
bezpłucnik czerwonogrzbiety;zw;8
bezpopowcy;grp;3
bezpopowiec;os;11
bezrobotny;os;6
bezrolny;os;7
bezszczękowiec;zw;7
beztalencie;os;5
bezwstydnik;os;7
bezwyznaniowiec;os;8
bezżuchwowiec;zw;7
bhakta;os;9
BHP-owiec;os;7
bi;os;7
biała nędza;os;6
białas;os;7
biali;grp;4
biało-czerwony;os;7
białoczółka;zw;8
białoczółka brązowa;zw;9
białoczółka obrożna;zw;9
białoczółka szarogłowa;zw;9
białogłowa;os;7
białogwardzista;os;8
Białorusin;os;6
białorybica;zw;9
białorzytka;zw;8
białosęp;zw;7
białoskórnik;os;7
białostocczanin;os;7
białostoczanin;os;7
białozór;zw;8
biały;os;6
biały człowiek;os;6
biały murzyn;os;7
biathlonista;os;7
biatlonista;os;7
bibliofil;os;8
bibliograf;os;8
bibliolog;os;7
biblioman;os;8
biblioteka;msc;4
biblioteka akademicka;msc;5
biblioteka internetowa;msc;5
biblioteka publiczna;msc;5
biblioteka ruchoma;wytw;5
bibliotekarz;os;9
biblioteka szkolna;msc;5
biblioteka uniwersytecka;msc;6
bibliotekoznawca;os;8
biblista;os;8
bibuła;os;6
biczownik;os;7
bidak;os;5
bidul;msc;5
biedaczysko;os;6
biedak;os;5
biedak;os;6
biedaszyb;msc;8
biedniak;os;7
biedota;grp;3
biedota;os;5
biedota;os;6
biedronka;zw;8
biedronka siedmiokropka;zw;9
biedronka siedmiokropkowa;zw;9
biegacz;os;7
biegacz;zw;8
biegły;os;6
biegły sądowy;os;7
biegus;zw;8
biegus mały;zw;9
biegus rdzawy;zw;9
biegus zmienny;zw;9
bielaczek;zw;9
bielak;zw;10
bielik;zw;8
bielinek;zw;9
bielinek kapustnik;zw;5
bieliźniarz;os;7
bielszczanin;os;7
bieługa;zw;9
bies;os;3
biesiadnik;os;6
bigamista;os;6
big band;grp;6
big-band;grp;6
bigbitowiec;os;10
bigbitowiec;os;9
bigot;os;8
biker;os;6
bikiniarz;os;6
bilansista;os;8
bilardzista;os;6
bileter;os;8
bimbrownia;msc;8
bimbrownik;os;7
binturong;zw;6
biochemik;os;8
biocybernetyk;os;8
