lemma;variant;domain;lemma;variant;domain
utożsamienie;2;2;utożsamić się;1;39
kłus;2;23;kłusować;2;36
lament;1;7;lamentować;1;35
miauk;1;16;miauczeć;1;30
przebudzenie;2;8;przebudzać;1;39
przebłysk;2;16;przebłyskiwać;1;28
sapanie;2;16;sapać;1;36
szarża;1;8;szarżować;1;31
szturchnięcie;2;8;szturchnąć;1;33
żonglerka;3;8;żonglować;2;36
desant;2;8;desantować;1;36
desant;2;8;desantować się;1;36
dializa;1;2;dializować;1;33
kondensacja;1;19;kondensować;1;28
motoryzacja;1;23;motoryzować;1;38
pacyfikacja;1;8;pacyfikować;1;31
szlif;1;4;szlifować;3;34
przejazd;2;2;przejeżdżać;2;36
jazda;2;2;jeździć;1;36
żonglerka;1;8;żonglować;1;39
chrystianizacja;1;26;chrystianizować;1;39
legitymacja;2;7;legitymować;2;29
dehumanizacja;1;26;dehumanizować;1;29
germanizacja;1;13;germanizować;1;39
hellenizacja;1;13;hellenizować;1;39
industrializacja;1;13;industrializować;1;39
instytucjonalizacja;1;13;instytucjonalizować;1;39
laicyzacja;1;4;laicyzować;1;39
laicyzacja;1;4;laicyzować się;1;39
zeświecczenie;2;4;zeświecczać;1;39
parcelacja;1;8;parcelować;1;28
komasacja;1;8;komasować;1;38
polonizacja;2;13;polonizować;1;29
absolutyzacja;1;6;absolutyzować;1;29
rusyfikacja;2;23;rusyfikować;1;29
sekularyzacja;1;13;sekularyzować;1;39
sekularyzacja;1;13;sekularyzować się;1;39
zeświecczenie;3;8;zeświecczać się;1;39
elektryfikacja;1;2;elektryfikować;1;34
artykulacja;2;7;artykułować;1;30
klerykalizacja;1;4;klerykalizować;1;39
charakteryzacja;1;2;charakteryzować;1;34
gestykulacja;1;7;gestykulować;1;36
kolonizacja;2;8;kolonizować;1;39
fundacja;3;8;fundować;2;39
stylizacja;2;2;stylizować;1;34
dialektyzacja;1;2;dialektyzować;1;34
archaizacja;1;2;archaizować;1;34
dramatyzacja;1;2;dramatyzować;1;34
ujednolicanie;1;2;ujednolicać;1;39
sprzysiężenie;1;11;sprzysięgać się;1;39
udanie;2;2;udać;1;37
wytłumianie;3;2;wytłumiać;3;28
przytłumianie;2;2;przytłumiać;2;37
wytłumianie;1;2;wytłumiać;1;37
wytłumianie;2;2;wytłumiać;2;35
poskramianie;3;2;poskramiać;2;39
druk;2;2;drukować;2;34
przedruk;2;8;przedrukować;1;34
dezintegracja;1;26;dezintegrować;1;28
autoryzacja;1;7;autoryzować;1;30
afirmacja;1;7;afirmować;1;30
pomoc;1;2;pomagać;1;39
rozdział;3;2;rozdzielić;3;38
alokacja;1;2;alokować;1;38
kolporterstwo;1;2;kolportować;1;38
rewindykacja;1;2;rewindykować;1;38
restauracja;2;2;restaurować;1;33
legalizacja;2;7;legalizować;2;39
akredytacja;2;7;akredytować;1;39
limita;1;2;limitować;2;39
limitacja;1;2;limitować;2;39
panowanie;3;26;panować;3;39
świdrowanie;1;2;świdrować;1;34
dezercja;1;8;dezerterować;1;39
identyfikowanie;2;2;identyfikować się;2;39
kolczykowanie;1;2;kolczykować;1;34
rysowanie;2;2;rysować;1;34
gościna;1;8;gościć;2;40
gościna;2;2;gościć;1;39
mechanizacja;1;23;mechanizować;1;28
zagrywka;2;2;zagrywać;1;36
szturm;1;8;szturmować;1;31
nawalanka;1;8;nawalać się;2;31
pobłażanie;2;4;pobłażać;1;39
przekomarzanie;1;7;przekomarzać się;1;30
preparacja;1;2;preparować;2;29
korespondencja;2;7;korespondować;2;30
kaligrafia;1;7;kaligrafować;1;34
taksacja;1;6;taksować;1;38
rewalidacja;1;2;rewalidować;1;33
produkcja;3;2;produkować;1;34
produkowanie;1;2;produkować;1;34
rozdział;4;8;rozdzielić;5;35
intronizacja;1;26;intronizować;1;39
intonacja;1;16;intonować;1;30
depalatalizacja;1;16;depalatalizować;1;30
palatalizacja;1;16;palatalizować;1;30
afiliacja;2;2;afiliować;1;34
atestacja;1;2;atestować;1;39
dociekanie;2;6;dociekać;1;29
datowanie;2;6;datować;1;29
kontrola;1;2;kontrolować;1;39
przekład;2;2;przekładać;3;30
indoktrynacja;1;7;indoktrynować;1;39
dogląd;1;26;doglądać;1;39
interwencja;2;26;interweniować;1;39
podpowiedź;2;2;podpowiedzieć;1;30
gloryfikacja;1;6;gloryfikować;2;29
lakiernictwo;1;6;lakierować;2;29
fluoryzacja;1;8;fluoryzować;2;27
galwanizacja;1;2;galwanizować;2;28
transplantacja;1;8;transplantować;1;33
trepanacja;1;8;trepanować;1;27
wszczepienie;1;8;wszczepiać;1;34
implantacja;1;8;implantować;1;34
sterylizacja;1;2;sterylizować;2;28
dezynfekcja;1;2;dezynfekować;1;28
pasteryzacja;1;2;pasteryzować;1;34
asenizacja;1;2;asenizować;1;33
deratyzacja;1;2;deratyzować;1;33
odszczurzanie;2;2;odszczurzać;1;33
dezynsekcja;1;2;dezynsekować;1;33
lewitacja;1;16;lewitować;1;40
przesuw;1;2;przesuwać;3;36
ablaktacja;1;2;ablaktować;1;34
bilans;1;2;bilansować;1;39
pelengacja;1;2;pelengować;1;28
destylacja;1;2;destylować;1;33
dyfuzja;1;19;dyfundować;1;28
dysocjacja;1;19;dysocjować;1;28
hydroliza;1;19;hydrolizować;1;28
praktyka;3;2;praktykować;4;29
aplikacja;3;2;aplikować;5;29
socjalizacja;1;19;socjalizować;1;39
pauperyzacja;1;8;pauperyzować;1;38
penalizacja;1;8;penalizować;1;39
reglamentacja;1;6;reglamentować;1;38
stymulacja;1;2;stymulować;1;39
dezaktywizacja;1;2;dezaktywizować;1;39
przechwyt;1;2;przechwytywać;1;38
ekstrakcja;1;2;ekstrahować;1;34
detronizacja;2;26;detronizować;2;39
podryw;2;7;podrywać;2;29
deprawacja;1;2;deprawować;1;39
dezercja;2;2;dezerterować;2;39
infiltracja;1;19;infiltrować;1;39
malwersacja;1;2;malwersować;1;38
profanacja;1;2;profanować;1;39
asekuracja;2;2;asekurować;2;36
zespolenie;2;8;zespolić;1;34
urobek;2;2;urobić;3;34
inkorporacja;1;8;inkorporować;1;38
służba;3;2;służyć;8;39
złorzeczenie;2;7;złorzeczyć;1;30
transpozycja;1;2;transponować;2;28
interferencja;1;8;interferować;1;28
systematyzacja;1;6;systematyzować;1;28
ściągnięcie;10;7;ściągnąć;10;28
retusz;2;2;retuszować;2;34
retusz;3;7;retuszować;3;34
retusz;1;2;retuszować;1;29
unowocześnienie;2;23;unowocześniać;1;28
celebra;2;4;celebrować;1;39
celebracja;2;4;celebrować;1;39
celebra;1;8;celebrować;2;39
podpałka;2;2;podpalić;2;34
rozpałka;2;2;rozpalać;2;34
latynizacja;1;13;latynizować;2;29
ubóstwienie;1;26;ubóstwiać;2;39
indukcja;2;6;indukować;3;29
indukcja;1;16;indukować;2;28
jonizacja;1;16;jonizować;1;34
nobilitacja;1;8;nobilitować;1;28
dyskredytacja;2;8;dyskredytować;1;39
marginalizacja;1;8;marginalizować;1;39
chłosta;1;2;chłostać;1;31
docisk;1;23;dociskać;1;33
regulacja;3;2;regulować;2;33
regulacja;1;2;regulować;4;33
szabrownictwo;1;18;szabrować;1;38
biwak;1;8;biwakować;1;39
lamentacja;2;7;lamentować;1;35
pertraktacje;1;7;pertraktować;1;30
cenzura;1;7;cenzurować;1;39
zapis;1;2;zapisać;4;34
transkrypcja;1;2;transkrybować;2;30
immatrykulacja;2;2;immatrykulować;1;39
beatyfikacja;1;26;beatyfikować;1;39
kanonizacja;1;8;kanonizować;1;39
konsekracja;2;8;konsekrować;2;39
konsekracja;1;8;konsekrować;1;39
celebracja;1;8;celebrować;2;39
marszczenie;3;4;marszczyć;2;28
krystalizacja;2;19;krystalizować;2;30
konkretyzacja;1;19;konkretyzować;1;30
opływ;2;8;opływać;1;33
mlask;1;16;mlaskać;1;34
feminizacja;1;26;feminizować;2;39
charczenie;2;16;charczeć;1;30
cmokanie;1;16;cmokać;1;30
grzechotanie;1;16;grzechotać;1;30
parskanie;3;16;parskać;2;30
żeniaczka;1;8;żenić się;1;39
odskok;1;23;odskoczenie;2;23
odskoczenie;2;23;odskoczyć;2;36
odskoczenie;2;23;odskok;1;23
odskok;2;23;odskoczyć;3;40
pląs;1;2;pląsać;1;36
wygięcie;2;2;wygiąć się;1;36
zubożenie;2;18;zubożeć;1;38
obniżenie;1;19;obniżyć się;1;28
łysienie;1;19;łysieć;1;28
implozja;1;8;implodować;1;28
trawers;4;16;trawersować;1;36
aklimatyzacja;1;19;aklimatyzować;1;28
akumulacja;1;8;akumulować;1;38
demokratyzacja;1;26;demokratyzować się;1;39
dobudowa;1;2;dobudowywać;1;34
ekshumacja;1;8;ekshumować;1;33
harmonizacja;1;23;harmonizować;1;40
neutralizacja;1;19;neutralizować;1;28
odsprzedaż;1;18;odsprzedać;1;38
optymalizacja;1;23;optymalizować;1;28
przeładunek;1;8;przeładowywać;1;36
synchronizacja;1;8;synchronizować;1;28
opływ;1;8;opływać;1;33
rozesłanie;3;8;rozesłać;2;36
wakat;1;23;wakować;1;40
wojaż;1;8;wojażować;1;36
kwitnienie;1;19;kwitnąć;3;40
kroczenie;2;2;kroczyć;1;36
rozporządzanie;2;7;rozporządzać;2;38
dźwiganie;4;2;dźwigać;4;33
spowolnienie;1;8;spowolnić;1;36
opadnięcie;1;19;opaść;1;36
szwargot;1;7;szwargotać;1;30
otaczanie;1;2;otaczać;1;40
ożywianie;5;8;ożywiać;5;39
płynięcie;6;2;płynąć;6;36
cygaństwo;1;7;cyganić;1;39
obstalunek;1;7;obstalować;1;39
opalizacja;1;16;opalizować;1;40
przepierka;1;2;przepierać;1;27
oświecenie;1;6;oświecić;1;29
ipsacja;1;2;ipsować;1;33
podejście;2;6;podejść;2;29
aprowizacja;1;23;aprowidować;1;38
arabizacja;1;13;arabizować;2;29
delegalizacja;1;2;delegalizować;1;39
ukrainizacja;1;13;ukrainizować;1;29
wulgaryzacja;1;2;wulgaryzować;1;39
nostryfikacja;1;2;nostryfikować;1;39
paginacja;1;23;paginować;1;34
napomknienie;1;7;napomknąć;1;30
demaskacja;1;8;demaskować;1;39
rozmawianie;1;2;rozmawiać;1;30
podjęcie decyzji;1;6;podjąć decyzję;1;29
postrzeżenie;2;8;postrzegać;2;37
hospitacja;1;8;hospitować;1;39
pozorowanie;1;2;pozorować;1;28
regeneracja;4;19;regenerować;3;40
regeneracja;2;19;regenerować;2;34
seplenienie;2;19;seplenić;1;30
komutacja;1;8;komutować;1;33
amerykanizacja;1;19;amerykanizować;1;29
dywersyfikacja;1;19;dywersyfikować;1;29
romanizacja;1;19;romanizować;2;29
teatralizacja;2;2;teatralizować;1;34
apercepcja;2;16;apercypować;1;37
ponoszenie;5;2;ponosić;5;39
windykacja;1;18;windykować;1;38
internacjonalizacja;2;8;internacjonalizować;1;28
bluff;2;8;bluffować;1;39
przemilczenie;3;7;przemilczeć;2;30
sekwestracja;1;18;sekwestrować;1;39
areszt;2;18;aresztować;2;39
hermetyzacja;1;19;hermetyzować;2;28
impregnacja;1;2;impregnować;1;34
szus;2;2;szusować;1;36
reaktywacja;1;2;reaktywować;1;28
kandyzacja;1;2;kandyzować;1;32
ekstyrpacja;1;2;ekstyrpować;1;33
imitatorstwo;1;2;imitować;1;40
oroszenie;2;16;orosić;1;41
kaloryzacja;1;2;kaloryzować;1;34
separacja;1;23;separować;1;39
ciąg;3;8;ciągnąć;10;36
fraternizacja;1;2;fraternizować się;1;39
zawieszenie;7;7;zawiesić;6;39
ankieta;1;2;ankietować;1;39
asekuracja;1;26;asekurować;1;39
polerka;2;2;polerować;2;28
wysiadka;2;8;wysiadać;1;36
adiustacja;1;2;adiustować;1;29
dubbing;1;2;dubbingować;1;29
rewizja;4;2;rewidować;2;29
skład;8;2;składać;3;34
kolacja;4;2;kolacjonować;1;29
tłuczenie się;1;2;tłuc się;1;36
praktyka;1;13;praktykować;2;39
relegacja;1;2;relegować;1;39
beletryzacja;1;2;beletryzować;1;34
ekranizacja;2;2;ekranizować;1;34
radiofonizacja;1;2;radiofonizować;1;34
kolonizacja;1;2;kolonizować;2;31
budowa;1;2;budować;1;34
rozwój;2;25;rozwijać się;3;28
upodobnienie;2;8;upodobnić;1;28
kontestacja;1;6;kontestować;1;39
legitymizacja;1;7;legitymizować;1;39
usankcjonowanie;2;7;usankcjonować;1;39
krystalizacja;1;19;krystalizować;1;34
obciąganie;5;2;obciągać;4;33
atak;5;8;atakować;2;31
atak;4;7;atakować;3;30
atak;9;2;atakować;6;36
blok;8;8;blokować;4;36
blokada;8;3;blokować;7;34
blokada;7;8;blokować;4;36
bloking;1;8;blokować;4;36
start;4;8;startować;5;36
wymarznięcie;2;19;wymarznąć;2;40
kanalizacja;3;2;kanalizować;1;34
ciąg;8;2;ciągnąć;4;36
rozkwit;2;19;rozkwitać;1;40
zmiękczenie;4;16;zmiękczać;3;30
konsultacja;2;8;konsultować;3;30
napływ;5;9;napływać;4;35
transkrypcja;4;19;transkrybować;3;28
rozstrój;3;8;rozstroić;1;29
redukcja;3;19;redukować;2;28
robotyzacja;1;23;robotyzować;1;39
archiwizacja;2;2;archiwizować;1;38
emisja;2;7;emitować;4;34
zapominalstwo;1;4;zapominać;3;29
federalizacja;1;19;federować;1;39
spis;2;2;spisywać;2;34
bek;1;7;beczeć;2;30
bek;2;7;beczeć;1;35
klekot;2;7;klekotać;1;30
cmok;1;8;cmoknąć;1;33
kąpiel;5;8;kąpać;2;34
generacja;3;2;generować;2;34
akceptacja;2;6;akceptować;4;29
publikacja;2;7;publikować;1;34
demonstracja;3;7;demonstrować;1;35
manifestacja;3;7;manifestować;1;35
